Dog,Sex,Age,FDPhase,OwnerFirst_0.StrangerFirst_1,Order,StressSignals_BOw,StressSignals_BStr,StressSignals_FDOw,StressSignals_FDStr,StressSignals_POw,StressSignals_PStr,InteractionWithOwner_Bow,InteractionWithOwner_BStr,InteractionWithOwner_FDOw,InteractionWithOwner_FDStr,InteractionWithOwner_POw,InteractionWithOwner_PStr,InteractionWithStranger_BOw,InteractionWithStranger_BStr,InteractionWithStranger_FDOw,InteractionWithStranger_FDStr,InteractionWithStranger_POw,InteractionWithStranger_PStr,Vocalizations_BOw,Vocalizations_BStr,Vocalizations_FDOw,Vocalizations_FDStr,Vocalizations_POw,Vocalizations_PStr,ExploreRoom_BOw,ExploreRoom_BStr,ExploreRoom_FDOw,ExploreRoom_FDStr,ExploreRoom_POw,ExploreRoom_PStr,LookAtObject_BOw,LookAtObject_BStr,LookAtObject_FDOw,LookAtObject_FDStr,LookAtObject_POw,LookAtObject_PStr,InteractionWithObject_BOw,InteractionWithObject_BStr,InteractionWithObject_FDOw,InteractionWithObject_FDStr,InteractionWithObject_POw,InteractionWithObject_PStr,Chew_Bow,Chew_BStr,Chew_FDOw,Chew_FDStr,Chew_POw,Chew_PStr,Bite_BOw,Bite_BStr,Bite_FDOw,Bite_FDStr,Bite_POw,Bite_PStr,OrientationToDoor_BOw,OrientationToDoor_BStr,OrientationToDoor_FDOw,OrientationToDoor_FDStr,OrientationToDoor_POw,OrientationToDoor_PStr,SocialInvestigation_FDOw,SocialInvestigation_FDStr,AttentionToOwner_BOW,AttentionToOwner_BSTR,AttentionToOwner_FDOW,AttentionToOwner_FDSTR,AttentionToOwner_POW,AttentionToOwner_PSTR,AttentionToStranger_BOW,AttentionToStranger_BSTR,AttentionToStranger_FDOW,AttentionToStranger_FDSTR,AttentionToStranger_POW,AttentionToStranger_PSTR
43,F,3,2,1,B-FD-P,0,3,0,1,0,0,31.92,2.43,0,0,0,0,0,8.5,0,0,0,0,0,0,0,0,0,0,0,47.77,35.12,46.61,0,30.12,3.58,5.26,5.02,3.98,0,4.02,0,0,6.35,2.39,0,6.02,0,0,0,0,0,0,0,0,0,0,0,0,0,2.02,3.01,0,0,0,4.01,7.97,0,13.77,37.12,14.74,0,0,4.23,10.12,4.68,14.74,0,2.01
44,F,6,3,1,P-B-FD,0,0,0,0,0,2,0,0,0,0,0,0,0,1.17,0,0,0,1.56,0,0,0,0,0,0,0,36.72,0,0,0,2.73,0,0,5.07,0.8,0,7.42,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95
45,F,6,3,0,P-B-FD,0,0,7,9,0,0,0,0,0,0,0,0,0,0,1.56,1.61,2.29,0,0,0,3.52,0,0,5.96,0,0,64.06,18.06,80.92,82.12,0,0,11.72,66.77,4.2,0,0,0,8.59,0,12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.95,8.2,10.97,0,0,2.34,0.65,0,0,2.28,0.65,1.17,0.65,0,0
46,M,4,1,0,FD-B-P,0,0,0,0,1,3,2.6,0,0,0,3.13,18.54,18.96,5.88,4.74,0,1.95,0,0,0,0,0,0,0,60.22,58.5,94.47,100,36.72,39.07,0,0,0,0,2.34,0,0,18.3,0,0,15.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,7.03,12.58,10.41,3.59,0.79,0,0.78,0
47,M,5,3,1,P-B-FD,2,0,1,1,8,1,0,6.72,0,0,3.61,1.68,0,0,0,3.95,0,15.13,0,0,0,2.77,0,0,64.47,56.92,29.67,11.86,23.61,26.05,0,0.79,14,8.7,0,1.26,0,0,11.67,10.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.43,11.07,0,0,0.33,0,10.33,11.07,3.95,5.53,19,1.98,6.89,2.1,0.66,0,1.67,2.77,0,0
48,F,2,3,0,P-B-FD,0,3,3,3,0,0,6.77,4.53,0,1.61,0,0,0,0,0,14.15,35.38,0,0,0,0,0,0,0,30.68,0,0,0,13.08,59.15,7.17,0,11.28,15.11,1.54,0,4.38,0,43.23,9.32,23.08,0,0,0,6.02,0,0,0,0,0,0,0,0,0,0,11.65,0,21.54,0,12.75,39.47,3.86,1.99,44.01,0,7.4,2.31,0,13.15,17.8,0,7.4,1.92,2.94
49,M,2.5,3,0,P-B-FD,4,7,2,6,1,6,0,0,4.8,5.28,0,0,0,0,1.85,1.98,0,0,0,0,0,0,0,0,18.21,0,7.38,10.56,56.51,0,4.64,0.33,16.97,5.94,10.41,1.97,0,0,39.85,43.56,10.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.99,7.26,30,30.49,3.69,16.83,0,30.26,22.5,60,0,16.83,7.43,3.62
50,M,6,1,1,FD-B-P,1,0,1,1,1,0,0,0,2.06,2.26,0,0.8,34.23,80,0,41.89,23.08,51,0,0,0,0,0,0,33.22,1.18,42.27,26.79,19.73,10.44,1.34,0,2.06,5.66,8.7,0.4,0,0,2.75,1.13,3.01,3.61,0,0,0,0,0,0,0,0,0,0,0,0,21.14,11.37,2.06,2.64,5.69,16.06,1.72,0,5.7,3.53,7.56,5.28,18.39,14.86,1.34,0.78,21.31,8.3,5.69,1.2
51,M,5,1,0,FD-B-P,2,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8.08,5.61,0,0,7.49,0,52.69,56.11,47.43,52.3,51.31,31.56,1.54,0.99,4.74,0,2.62,1,0,0,22.92,6.25,4.49,0,0,0,0,0,0,0,0,0,0,0,0,0,21.15,7.59,0,7.24,22.85,8.31,11.07,1.64,4.62,1.98,5.93,10.2,8.24,0,5.77,5.28,2.37,10.2,5.99,5.65
52,F,7,2,0,B-FD-P,2,4,0,3,2,0,0,0,0,0,1.16,0,0,3.93,0.75,2.32,0,0,0,0,0,0,0,0,59.77,81.31,21.8,12.58,19.38,0,1.5,0,0,9.6,4.26,0,6.02,0,38.72,14.24,6.2,0,0,0,0,9.27,0,0,0,0,0,0,0,0,3.38,0,0,0,0,0,13.53,9.93,4.89,0,16.92,18.87,12.02,19.74,3.38,0,1.5,18.87,4.65,57.89
53,M,2,1,0,FD-B-P,2,2,2,1,1,1,0,6.49,7.06,0,1.48,0,0,0,3.35,2.6,0,0,0,0,0,0,0,0,78.49,93.51,39.03,81.17,64.07,98.68,1.51,0,13.38,2.92,7.78,0,0,0,12.64,6.82,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23,0,0,0,15.61,4.55,0,0,1.86,0,9.63,0,4.53,0,0,0,7.78,1.32
